#,C0,C1,C2,C3,C4
1,License Number,Date,Activity,City Name,County Name 
2,,42054,Cannabis Premises Check,SEATTLE,KING
3,,42114,Cannabis Premises Check,SEATTLE,KING
4,,42324,Cannabis Applicant Site Verification,SEATTLE,KING
5,,42329,Cannabis Premises Check,,
6,,42515,Cannabis Premises Check,WOODINVILLE,KING
7,,42566,Cannabis Premises Check,BUCKLEY,PIERCE
8,,42585,Cannabis Compliance Check-no Sale,POULSBO,KITSAP
9,,42591,Cannabis Premises Check,UNINCORPORATED AREAS,MASON
10,,42607,Cannabis Premises Check,,
11,,42657,Cannabis Premises Check,ASOTIN,ASOTIN
12,,42661,Cannabis Premises Check,SEATTLE,KING
13,,42677,Cannabis Premises Check,SEATTLE,KING
14,,42761,Cannabis Premises Check,,
15,,42783,Cannabis Compliance Check-no Sale,POULSBO,KITSAP
16,,42783,Cannabis Premises Check,POULSBO,KITSAP
17,,42789,Cannabis Premises Check,,
18,,42795,Cannabis Premises Check,POULSBO,KITSAP
19,,42868,Cannabis Premises Check,,
20,,42913,Cannabis Premises Check,,
21,,42927,Cannabis Premises Check,PULLMAN,WHITMAN
22,,42986,Cannabis Premises Check,BELLINGHAM,WHATCOM
23,,43095,Cannabis Premises Check,OAKVILLE,GRAYS HARBOR
24,,43109,Cannabis Premises Check,PORT ORCHARD,KITSAP
25,,43111,Cannabis Premises Check,BELLINGHAM,WHATCOM
26,,43133,Cannabis Premises Check,PUYALLUP,PIERCE
27,,43136,Cannabis Premises Check,,
28,,43222,Cannabis Premises Check,UNINCORP. AREAS,STEVENS
29,,43279,Cannabis Applicant Site Verification,,
30,,43306,Cannabis Applicant Site Verification,,
31,,43311,Cannabis Premises Check,DEER PARK,SPOKANE
32,,43314,Cannabis Applicant Site Verification,DEER PARK,SPOKANE
33,,43314,Cannabis Premises Check,DEER PARK,SPOKANE
34,,43341,Cannabis Premises Check,TONASKET,OKANOGAN
35,,43375,Cannabis Applicant Site Verification,,
36,,43390,Cannabis Premises Check,OLYMPIA,THURSTON
37,,43432,Cannabis Premises Check,OLYMPIA,THURSTON
38,,43498,Cannabis Premises Check,SEATTLE,KING
39,,43593,Cannabis Applicant Site Verification,,
40,,43670,Cannabis Compliance Check-no Sale,YAKIMA,YAKIMA
41,,43693,Cannabis Premises Check,,
42,,43706,Cannabis INVENTORY AUDIT,,
43,,43788,Cannabis Premises Check,,
44,,43895,Cannabis Premises Check,,
45,,43895,Cannabis Premises Check,,
46,,43922,Cannabis Premises Check,,
47,,43922,Cannabis Premises Check,SPOKANE,SPOKANE
48,,44053,Cannabis Premises Check,,
49,,44092,Cannabis Premises Check,,
50,,44140,Cannabis Premises Check,,
51,,44141,Cannabis Premises Check,YAKIMA,YAKIMA
52,,44389,Cannabis Premises Check,,
53,,44389,Cannabis Premises Check,,
54,,44604,Cannabis Premises Check,,
55,,44622,Cannabis Premises Check,,
56,,44653,Cannabis Premises Check,SPOKANE (CITY),SPOKANE
57,,44657,Cannabis Premises Check,,
58,,44671,Cannabis Premises Check,,
59,,44691,Cannabis Premises Check,,
60,,44705,Cannabis Premises Check,,
61,,44764,Cannabis Administrative Hold Initiated,,
62,,44790,Cannabis Premises Check,,
63,,44792,Cannabis Premises Check,,
64,,44795,Cannabis Premises Check,,
65,,44894,Cannabis Premises Check,,
66,,44894,Cannabis Premises Check,,
67,,44904,Cannabis Premises Check,,
68,,44914,Cannabis Premises Check,,
69,,44929,Cannabis Premises Check,,
70,,44935,Cannabis Premises Check,,
71,,44950,Cannabis Premises Check,,
72,,44950,Cannabis Premises Check,,
73,,44952,Cannabis Premises Check,,
74,,44952,Cannabis Premises Check,,
75,,44961,Cannabis Premises Check,,
76,,44967,Cannabis Premises Check,,
77,,44982,Cannabis Premises Check,,
78,,44982,Cannabis Premises Check,,
79,,44986,Cannabis Premises Check,,
80,,44996,Cannabis Premises Check,,
81,,44999,Cannabis Premises Check,,
82,,45010,Cannabis Premises Check,,
83,,45013,Cannabis Premises Check,,
84,,45017,Cannabis Premises Check,,
85,,45023,Cannabis Premises Check,SPOKANE (CITY),SPOKANE
86,,45041,Cannabis Premises Check,SPOKANE (CITY),SPOKANE
87,,45043,Cannabis Premises Check,SPOKANE (CITY),SPOKANE
