Week Ending,Adult-Use Retail Sales,Adult-Use Products Sold,Medical Marijuana Retail Sales,Total Adult-Use and Medical Sales,Medical Products Sold,Total Products Sold,Adult-Use Average Product Price,Medical Average Product Price
01/14/2023,1485019.32,33610,1776700.69,3261720.01,49312,82922,44.25,36.23
01/21/2023,1487815.81,33005,2702525.61,4190341.42,77461,110466,45.08,34.89
01/28/2023,1553216.30,34854,2726237.56,4279453.86,76450,111304,44.56,35.65
01/31/2023,578840.62,12990,863287.86,1442128.48,24023,37013,44.56,35.93
02/04/2023,1047436.20,24134,1971731.40,3019167.60,56666,80800,43.49,34.84
02/11/2023,1671205.80,38764,2815023.87,4486229.67,77454,116218,43.33,36.30
02/18/2023,1742486.74,42178,3008219.03,4750705.77,83065,125243,41.56,36.33
02/25/2023,1862822.43,45919,2793882.27,4656704.70,75990,121909,40.76,36.74
02/28/2023,700300.78,17570,853033.11,1553333.89,23469,41039,39.96,36.35
03/04/2023,1355673.59,33548,2145964.90,3501638.49,56607,90155,40.42,37.98
03/11/2023,2100022.43,51174,2664338.40,4764360.83,71988,123162,41.08,36.92
03/18/2023,2124468.68,52042,2674501.67,4798970.35,72728,124770,40.81,36.68
03/25/2023,2151040.59,53130,2798631.38,4949671.97,75500,128630,40.50,37.06
03/31/2023,1831943.14,45080,2292570.07,4124513.21,62239,107319,40.65,36.66
04/01/2023,418812.68,10364,411394.13,830206.81,11121,21485,40.41,36.99
04/08/2023,2403561.83,59704,2666563.86,5070125.69,74195,133899,40.26,35.94
04/15/2023,2087159.31,52875,2517920.96,4605080.27,70671,123546,39.47,35.63
04/22/2023,2496234.15,66199,3085786.74,5582020.89,86307,152506,37.71,35.75
04/29/2023,2507966.33,63190,2561633.80,5069600.13,67718,130908,39.69,37.83
04/30/2023,286293.00,7167,183661.24,469954.24,4973,12140,39.95,36.93
05/06/2023,2282560.02,57754,2414465.01,4697025.03,67006,124760,39.52,36.03
05/13/2023,2564913.32,64687,2458332.18,5023245.50,67872,132559,39.65,36.22
05/20/2023,2617368.35,65731,2465160.61,5082528.96,68606,134337,39.82,35.93
05/27/2023,2800947.71,70934,2841464.80,5642412.51,79680,150614,39.49,35.66
05/31/2023,1280002.90,32948,1049495.20,2329498.10,29594,62542,38.85,35.46
06/03/2023,1390943.35,35095,1376935.93,2767879.28,37613,72708,39.62,36.60
06/10/2023,2828270.87,70454,2468881.28,5297152.15,65602,136056,40.15,37.55
06/17/2023,2875410.83,71879,2585081.31,5460492.14,68506,140385,40.11,37.83
06/24/2023,2903411.26,72603,2524419.26,5427830.52,66998,139601,39.94,37.73
06/30/2023,2544960.59,63479,2408269.64,4953230.23,64574,128053,40.19,37.42
07/01/2023,473217.98,11876,460581.25,933799.23,11012,22888,39.85,41.83
07/08/2023,2890082.75,71956,2312022.99,5202105.74,60136,132092,40.11,38.46
07/15/2023,2981657.61,73530,2464306.71,5445964.32,62523,136053,40.55,39.41
07/22/2023,2981433.64,73419,2437203.52,5418637.16,62138,135557,40.62,39.54
07/29/2023,2966760.63,74494,2389904.19,5356664.82,60394,134888,39.97,39.81
07/31/2023,725428.91,18902,545129.04,1270557.95,14037,32939,38.42,38.88
