Credential Type,License #,Status,Effective Date,Producer Name,Producer Credential,Brand Name,Recorded Date,Tetrahydrocannabinol (THC),Tetrahydrocannabinol acid (THCA),Cannabidiols (CBD),Carboxylic acids (CBDA),Other Active Ingredient (>1%),
MMBR,MMBR.0000001,ACTIVE,09/22/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14003,8/9/2018 10:52:17 AM,<0.1,15.03,<0.1,0.22,N/A,
MMBR,MMBR.0000002,ACTIVE,09/22/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14001,8/9/2018 10:50:58 AM,<0.1,15.35,<0.1,0.18,N/A,
MMBR,MMBR.0000003,ACTIVE,09/22/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14002,8/9/2018 10:50:09 AM,<0.1,22.49,<0.1,0.16,N/A,
MMBR,MMBR.0000004,ACTIVE,09/26/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14004,8/9/2018 10:49:18 AM,<0.1,19.55,<0.1,0.27,N/A,
MMBR,MMBR.0000005,ACTIVE,09/26/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14005,8/9/2018 10:48:22 AM,<0.1,19.60,<0.1,0.26,N/A,
MMBR,MMBR.0000006,ACTIVE,10/08/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14006,8/9/2018 10:46:32 AM,<.1,24.14,<.1,0.23,N/A,
MMBR,MMBR.0000007,ACTIVE,10/21/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14007,8/9/2018 10:45:54 AM,<0.1,15.46,<0.1,0.13,N/A,
MMBR,MMBR.0000008,ACTIVE,10/27/2014,CURALEAF LLC,MMPR.0000003,GoldT20,8/9/2018 10:45:12 AM,.98 - 1.03,21.02 - 21.71,<.001,<.001,N/A,
MMBR,MMBR.0000009,ACTIVE,10/29/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14008,8/9/2018 10:44:28 AM,<0.1,17.48,<0.1,0.21,N/A,
MMBR,MMBR.0000010,ACTIVE,11/12/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14009,8/9/2018 10:43:50 AM,<0.1,23.7,<0.1,0.7,N/A,
MMBR,MMBR.0000011,ACTIVE,11/12/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14010,8/9/2018 10:43:11 AM,<0.1,13.0,<0.1,1.4,N/A,
MMBR,MMBR.0000012,ACTIVE,11/21/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14011,8/9/2018 10:42:40 AM,<0.1,27.1,<0.1,0.35,N/A,
MMBR,MMBR.0000013,ACTIVE,11/21/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14012X,8/9/2018 10:42:01 AM,<0.1,52.6,<0.1,0.7,N/A,
MMBR,MMBR.0000014,ACTIVE,11/21/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14013X,8/9/2018 10:41:12 AM,<0.1,43.7,<0.1,0.4,N/A,
MMBR,MMBR.0000015,ACTIVE,12/01/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14019,8/9/2018 10:40:20 AM,0.6,21.0,<0.1,0.20,N/A,
MMBR,MMBR.0000016,ACTIVE,12/01/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14014X,8/9/2018 10:39:30 AM,18.6,44.8,.37,1,N/A,
MMBR,MMBR.0000017,ACTIVE,12/03/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14015,8/9/2018 10:38:24 AM,1.8,19.9,<0.1,0.3,N/A,
MMBR,MMBR.0000018,ACTIVE,12/03/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14016,8/9/2018 10:37:50 AM,<0.1,12.6,<0.1,1.1,N/A,
MMBR,MMBR.0000019,ACTIVE,12/03/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14017,8/9/2018 10:37:16 AM,0.8,19.9,<0.1,0.3,N/A,
MMBR,MMBR.0000020,ACTIVE,12/03/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14020,8/9/2018 10:36:37 AM,<0.1,14.3,<0.1,<0.1,N/A,
MMBR,MMBR.0000021,ACTIVE,12/03/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14018,8/9/2018 10:36:00 AM,0.8,21.0,<0.1,0.3,N/A,
MMBR,MMBR.0000022,ACTIVE,12/05/2014,"DXR FINANCE 3, LLC",MMPR.0000004,Theraplant14021X,8/9/2018 10:35:20 AM,24.79,49.02,.21,.95,N/A,
