NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
ACREAGE CONNECTICUT RETAIL JV LLC,169 East St,,New Haven,CT,="06511",ACRE.0015697,ACTIVE,04/07/2025,04/06/2026,Equity Joint Venture,Equity Joint Venture,
BUDR HARTFORD HOLDING LLC,108 Federal Road,,Danbury,CT,="06810",ACRE.0015644,ACTIVE,10/05/2024,10/04/2025,Equity Joint Venture,Equity Joint Venture,
BUDR HOLDING 2 LLC,1037 BOULEVARD,,WEST HARTFORD,CT,="06119",ACRE.0015670,ACTIVE,07/21/2024,07/20/2025,Equity Joint Venture,Equity Joint Venture,
Budr Holding 3 LLC,9 Fieldstone Commons,,Tolland,CT,="06084",ACRE.0015669,ACTIVE,03/07/2025,03/06/2026,Equity Joint Venture,Equity Joint Venture,
Budr Holding 4 LLC,7365 MAIN ST STE 17,,STRATFORD,CT,06614-1300,ACRE.0015671,Provisional License,06/15/2023,06/14/2025,Equity Joint Venture,Equity Joint Venture,
Budr Holding 5 LLC,Not Required Until Final License Application,,,,,ACRE.0015696,Provisional License,01/16/2025,03/15/2026,Equity Joint Venture,Equity Joint Venture,
C3 EJV II LLC,130 Honeyspot Road,,Stratford,CT,="06615",ACRE.0015694,Provisional License,01/06/2025,03/05/2026,Equity Joint Venture,Equity Joint Venture,
CHILLAX LLC,97 Providence Pike,Suite 4,Putnam,CT,="06260",ACRE.0004289,ACTIVE,07/09/2024,07/08/2025,SEC Lottery,SEC Lottery,
CONNECTIBUDS EJV 1 LLC,Not Required Until Final License Application,,,,,ACRE.0015685,Provisional License,03/13/2024,05/12/2025,Equity Joint Venture,Equity Joint Venture,
CONNECTIBUDS EJV 2 LLC,90 Pershing Drive,,Derby,CT,="06418",ACRE.0015686,ACTIVE,01/09/2025,01/08/2026,Equity Joint Venture,Equity Joint Venture,
"Connecticut Retail Solutions, LLC",Not Required Until Final License Application,,,,,ACRE.0015698,Provisional License,03/05/2025,05/04/2026,Equity Joint Venture,Equity Joint Venture,
"CTCannaVentures, LLC",Not Required Until Final License Application,,,,,ACRE.0015687,Provisional License,03/28/2024,05/27/2025,Equity Joint Venture,Equity Joint Venture,
DEBBIE'S DISPENSARY LLC,500 Main St,,East Hartford,CT,="06118",ACRE.0009619,ACTIVE,01/17/2025,01/16/2026,General Lottery,General Lottery,
DIVINE 1 LLC,39 NEW HAVEN RD STE 2,,SEYMOUR,CT,06483-3460,ACRE.0008896,ACTIVE,09/03/2024,09/02/2025,SEC Lottery,SEC Lottery,
"FFD BLUE EJV, LLC",85 Turnpike Drive,,Waterbury,CT,="06762",ACRE.0015680,ACTIVE,01/09/2025,01/08/2026,Equity Joint Venture,Equity Joint Venture,
FFDC EJV II LLC,1232 Farmington Ave,,West Hartford,CT,="06107",ACRE.0015700,ACTIVE,04/09/2025,04/08/2026,Equity Joint Venture,Equity Joint Venture,
