NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
AFFINITY HEALTH & WELLNESS INC,1351 WHALLEY AVE,,NEW HAVEN,CT,06515-1149,AMHF.0008252,ACTIVE,12/18/2024,12/17/2025,Conversion,Converted from Medical Marijuana,
"BLUEPOINT APOTHECARY, LLC",471 E MAIN ST,,BRANFORD,CT,06405-2961,AMHF.0008250,ACTIVE,04/11/2025,04/10/2026,Conversion,Converted from Medical Marijuana,
Budr Holding 6 LLC,7365 Main Street Unit 17,,Stratford,CT,06614,AMHF.0008281,ACTIVE,07/25/2024,07/24/2025,Equity Joint Venture,Equity Joint Venture,
C-3 VENTURES LLC,3568 WINSTED RD,,TORRINGTON,CT,06790-2213,AMHF.0008264,ACTIVE,12/28/2024,12/27/2025,Conversion,Converted from Medical Marijuana,
CARING NATURE LLC,585 South Main Street ,,Naugatuck,CT,06770,AMHF.0008262,ACTIVE,04/24/2025,04/23/2026,Equity Joint Venture,Equity Joint Venture,
CARING NATURE LLC,237 E AURORA ST STE 6,,WATERBURY,CT,06708-2044,AMHF.0008287,ACTIVE,01/27/2025,01/26/2026,Conversion,Converted from Medical Marijuana,
CHILLAX LLC,2661 Berlin Turnpike,,Newington,CT,06111,AMHF.0002942,ACTIVE,01/24/2025,01/23/2026,SEC Lottery,SEC Lottery,
CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,2903 BERLIN TPKE,,NEWINGTON,CT,06111-4115,AMHF.0008258,ACTIVE,10/12/2024,10/11/2025,Equity Joint Venture,Equity Joint Venture,
CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,606 West Main Street,,Norwich,CT,06360,AMHF.0008257,ACTIVE,07/07/2024,07/06/2025,Equity Joint Venture,Equity Joint Venture,
"CONNECTICUT RETAIL SOLUTIONS II, LLC",185 Spencer Street,,Manchester,CT,06040,AMHF.0008275,ACTIVE,08/07/2024,08/06/2025,Equity Joint Venture,Equity Joint Venture,
CT Nightjar 1,15 Colton Road,,East Lyme,CT,06333,AMHF.0008285,ACTIVE,01/31/2025,01/30/2026,Equity Joint Venture,Equity Joint Venture,
CURALEAF GROTON LLC,79 GOLD STAR HWY,,GROTON,CT,06340-3429,AMHF.0008270,ACTIVE,12/18/2024,12/17/2025,Conversion,Converted from Medical Marijuana,
CURALEAF HARTFORD INC,92 WESTON ST,,HARTFORD,CT,06120-1510,AMHF.0008265,ACTIVE,04/10/2025,04/09/2026,Conversion,Converted from Medical Marijuana,
