Month Ending,Average Price Per Gram
January 2023,12.32
February 2023,11.73
March 2023,10.35
April 2023,9.88
May 2023,9.77
June 2023,9.88
July 2023,9.70
August 2023,9.51
September 2023,9.68
October 2023,9.76
November 2023,11.05
December 2023,11.51
January 2024,11.93
February 2024,12.28
March 2024,12.51
April 2024,12.11
May 2024,12.22
June 2024,12.16
July 2024,12.16
August 2024,11.61
September 2024,11.36
October 2024,11.21
November 2024,10.86
December 2024,10.62
January 2025,10.57
February 2025,10.58
March 2025,10.27
