NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
Coastal Cannabis LLC,Not Required Until Final License Application,,,,,ACCE.0000018,Provisional License,07/22/2022,,DIA Cultivator,DIA Cultivator,
Connectibuds LLC,Not Required Until Final License Application,,,,,ACCE.0000006,Provisional License,01/17/2023,,DIA Cultivator,DIA Cultivator,
"Connecticut Cultivation Solutions, LLC",Not Required Until Final License Application,,,,,ACCE.0000034,Provisional License,09/02/2022,,DIA Cultivator,DIA Cultivator,
"CONNECTICUT SOCIAL EQUITY, LLC",266 Watertown Road,,Morris,CT,06763,ACCE.0000040,ACTIVE,06/05/2024,06/04/2025,DIA Cultivator,DIA Cultivator,
CT PLANT BASED COMPASSIONATE CARE LLC,5 Eighth Street,,Norwich,CT,06360,ACCE.0000014,Provisional License,09/16/2022,,DIA Cultivator,DIA Cultivator,
DF C3 LLC,Not Required Until Final License Application,,,,,ACCE.0000042,Provisional License,11/29/2023,,DIA Cultivator,DIA Cultivator,
FFD 149 LLC,10 MOSEY DR,,BLOOMFIELD,CT,06002-3531,ACCE.0000028,ACTIVE,12/16/2024,12/15/2025,DIA Cultivator,DIA Cultivator,
"INSA CT, LLC",Not Required Until Final License Application,,,,,ACCE.0000015,Provisional License,08/04/2022,,DIA Cultivator,DIA Cultivator,
NAUTILUS BOTANICALS,738 HARTFORD PIKE,,KILLINGLY,CT,06241-1766,ACCE.0000005,Provisional License,11/21/2022,,DIA Cultivator,DIA Cultivator,
Nova Farms Connecticut LLC,Not Required Until Final License Application,,,,,ACCE.0000023,Provisional License,09/25/2024,,DIA Cultivator,DIA Cultivator,
"QUINNIPIAC VALLEY GROWTH PARTNERS, LLC",Not Required Until Final License Application,,,,,ACCE.0000030,Provisional License,09/08/2022,,DIA Cultivator,DIA Cultivator,
SHANGRI-LA FARMS CT CORP.,Not Required Until Final License Application,,,,,ACCE.0000016,Provisional License,09/19/2022,,DIA Cultivator,DIA Cultivator,
Soulstar,Not Required Until Final License Application,,,,,ACCE.0000019,Provisional License,02/16/2024,,DIA Cultivator,DIA Cultivator,
The Flower House L.L.C.,Not Required Until Final License Application,,,,,ACCE.0000025,Provisional License,12/14/2022,,DIA Cultivator,DIA Cultivator,
