NAME,STREET ADDRESS,ADDRESS Line 2,CITY,STATE,ZIP,LICENSE NUMBER,STATUS,EFFECTIVE DATE,EXPIRATION DATE,APPLICANT TYPE,HOW SELECTED,
CANNABIS CONNECTION LLC,1335 James Farm rd ,,stratford,CT,06615,ACDS.0000496,ACTIVE,03/21/2025,03/20/2026,General Lottery,General Lottery,
CSAC ACQUISITION CONNECTICUT LLC,185 Spencer Street,,Manchester,CT,06040,ACDS.0001017,ACTIVE,01/02/2025,01/01/2026,SEC Lottery,General Lottery,
Fresh Perspective CT LLC,556 Hill St,,Bristol,CT,06010,ACDS.0000953,ACTIVE,03/07/2025,03/06/2026,SEC Lottery,SEC Lottery,
GREEN CAB 2 LLC,1 Bank Street,Suite LL1,Stamford,CT,06901,ACDS.0001062,ACTIVE,12/13/2024,12/12/2025,SEC Lottery,SEC Lottery,
"Green Cab Co, LLC",1 Bank Street,Suite LL1,Stamford,CT,06901,ACDS.0000602,ACTIVE,11/20/2024,11/19/2025,SEC Lottery,SEC Lottery,
"High Acres Delivery, LLC",887 Norwich-New London Turnpike ,,Montville,CT,06382,ACDS.0001213,LAPSED,03/01/2024,02/28/2025,Equity Joint Venture,Equity Joint Venture,
LETS GROW HARTFORD LLC,470 James St,,New Haven,CT,06513,ACDS.0001203,ACTIVE,02/18/2025,02/17/2026,SEC Lottery,SEC Lottery,
LETS GROW HARTFORD LLC,470 James St,Suite 007,New Haven,CT,06513,ACDS.0001177,ACTIVE,02/18/2025,02/17/2026,SEC Lottery,SEC Lottery,
NUTMEG DELIVERY JV LLC,262 MOOSUP POND RD,,MOOSUP,CT,06354-1712,ACDS.0001212,ACTIVE,05/05/2025,05/04/2026,Equity Joint Venture,Equity Joint Venture,
"RISE ON THE ROAD, LLC",PO Box 843,,Hartford,CT,06143,ACDS.0001147,ACTIVE,12/19/2024,12/18/2025,General Lottery,General Lottery,
SLAP ASH DELIVERY LLC,63 GREENTREE DR,,GLASTONBURY,CT,06033-2628,ACDS.0000918,ACTIVE,12/20/2024,12/19/2025,General Lottery,General Lottery,
