BRAND-NAME,DOSAGE-FORM,BRANDING-ENTITY,PRODUCT-IMAGE,LABEL-IMAGE,LAB-ANALYSIS,APPROVAL-DATE,REGISTRATION-NUMBER,TETRAHYDROCANNABINOL-THC,TETRAHYDROCANNABINOL-ACID-THCA,CANNABIDIOLS-CBD,CANNABIDIOL-ACID-CBDA,A-PINENE,B-MYRCENE,B-CARYOPHYLLENE,B-PINENE,LIMONENE,OCIMENE,LINALOOL-LIN,HUMULENE-HUM,CBG,CBG-A,CANNABAVARIN-CBDV,CANNABICHROMENE-CBC,CANNBINOL-CBN,TETRAHYDROCANNABIVARIN-THCV,A-BISABOLOL,A-PHELLANDRENE,A-TERPINENE,B-EUDESMOL,B-TERPINENE,FENCHONE,PULEGOL,BORNEOL,ISOPULEGOL,CARENE,CAMPHENE,CAMPHOR,CARYOPHYLLENE-OXIDE,CEDROL,EUCALYPTOL,GERANIOL,GUAIOL,GERANYL-ACETATE,ISOBORNEOL,MENTHOL,L-FENCHONE,NEROL,SABINENE,TERPINEOL,TERPINOLENE,TRANS-B-FARNESENE,VALENCENE,A-CEDRENE,A-FARNESENE,B-FARNESENE,CIS-NEROLIDOL,FENCHOL,TRANS-NEROLIDOL,Market,Chemotype,Processing Technique,Solvents Used,National Drug Code
1-1 Drops 17412 T314C328 I Sweet,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6153289&GUID=AFF53168-E48F-446F-AE53-C39EFE42530D),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6153285&GUID=BECE2295-7FB6-42EC-B15D-86C0F0B6B237),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6153278&GUID=213869F0-57E6-4B16-B9EE-51B7627B44DD),01/12/2023 12:00:00 AM,MMBR.0015996,1.10,0,1.15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,C0000017412
1-1 Oil Syringe 20221,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6540704&GUID=48FF10F7-9901-435B-8D4C-C1657396F9C8),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6540686&GUID=A583BBEE-0458-45C4-BC22-0C20E67ADE6C),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6540682&GUID=DDF9721D-A2FC-4A7B-82B7-407F7965E75A),08/11/2023 12:00:00 AM,MMBR.0018614,23.87,0,23.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,C0000020221
1-1 Oral Drops 16310,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5856071&GUID=595B807E-DEB0-42FC-B76A-2F8F8C2C00F3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5856069&GUID=65EB3A09-DF1A-4BAE-B8BE-337102C664F3),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5856067&GUID=8A2DBBCF-F69F-4E75-847A-FA3235881DFC),08/03/2022 12:00:00 AM,MMBR.0014490,1.05,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,
1-1 Oral Syringe 17837,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6179111&GUID=75C2E8D1-7448-4BEA-8A9B-18E26EED95EC),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6179108&GUID=90C8FA4A-F739-4BED-9D29-8BFA8F97122C),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6179094&GUID=13FDD52C-1A9A-4112-B129-A04E7F0FEBAA),01/26/2023 12:00:00 AM,MMBR.0016134,25.28,0.67,26.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,C0000017837
1-1 Oral Syringe 18539,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6279620&GUID=445C646C-3FBA-4936-8AE3-8925ADF23E63),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6279615&GUID=88F17590-B91D-4689-8571-050D2B6A18F7),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6279613&GUID=4AA2EF3C-3835-43EE-9668-0E3323565FAA),03/23/2023 12:00:00 AM,MMBR.0016809,25.95,0,26.66,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,C0000018539
1:1 DROPS 18830 T304C290,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6345458&GUID=02450E49-47BE-4E16-A48F-9C69D3B89085),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6345457&GUID=3DAA674B-76AB-4BD5-AABB-476EC5DF75C9),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6345454&GUID=8E4624E6-B145-46D5-A843-B4FCE3D3C699),04/27/2023 12:00:00 AM,MMBR.0017179,1.09,0,1.04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,C0000018830
B52 Bomber Flower SC T22.29% S 24966,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226810&GUID=EB1C647B-2852-4011-8C0F-A5364C1AC365),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226808&GUID=BD65054A-B7B2-4FA7-8B47-849EE2FA6362),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226806&GUID=252A394C-0575-4499-A8D8-3216681CC950),07/25/2024 12:00:00 AM,MMBR.0023551,0.79,24.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024966
B52 Bomber Flower T22.29% S 24965,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226792&GUID=9C5BCAFE-ACA5-4D19-8531-91E0801230DB),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226790&GUID=B3F59B53-D3F7-4AAD-AEA1-07E38201DED2),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226787&GUID=28AEC405-4CA5-46A2-B19C-AB89A78958A5),07/25/2024 12:00:00 AM,MMBR.0023550,0.79,24.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024965
1:1 Drops 14231,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4569522&GUID=9903243E-DB49-4188-A318-73851909BED4),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4569257&GUID=A740CCA2-68E3-4954-989E-06AA673CD650),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4569247&GUID=D9D6568E-AA21-4CC9-B0F1-B8A3D73C8768),02/22/2022 12:00:00 AM,MMBR.0012679,1.11,0,1.16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,
1:1 ORAL SPRAY T127C130 I PEPPERMINT 17272,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6067383&GUID=61EA452D-ADEF-4B83-8763-401FDF9A94EF),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6067382&GUID=85F6A091-F966-4B8B-8FBC-E6B12BD50DA0),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6067365&GUID=78FA514A-637C-4DBB-A90D-ED287E7C820D),11/29/2022 12:00:00 AM,MMBR.0015624,2.73,0,2.80,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,
1:1 ORAL SPRAY T129C130 I PEPPERMINT 16409,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5922551&GUID=ECE235B6-F278-48BC-97DB-A6605CA6A6F9),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5922548&GUID=6DCAAC82-EC1F-434E-9F21-2CA9CC867DC4),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=5922538&GUID=1A80856A-C302-43C5-98C8-762F1F9846EE),09/08/2022 12:00:00 AM,MMBR.0014872,2.74,0,2.77,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,
1:1 ORAL SYRINGE 17319,"Extracts, sprays, tinctures or oils",CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6102696&GUID=6675680F-7EDA-4BE7-8C27-33D6ED19DDE9),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6102695&GUID=943A08A4-FD66-4C0E-896D-709B72284AB4),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=6102690&GUID=F20DDA02-50D2-465C-A753-974DF3616301),12/16/2022 12:00:00 AM,MMBR.0015768,25.37,0.47,25.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,,,,
B52 Bomber Pre-Rolls T22.29% S 24967,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226836&GUID=03B1FDC7-EE3B-4F57-BCA7-5B19E73120A3),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226833&GUID=0D3B7D26-228A-4E31-B0DC-A0E8F2A4DD25),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226825&GUID=C2EB2404-DB82-42AF-A354-C81269C57FCF),07/25/2024 12:00:00 AM,MMBR.0023554,0.79,24.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024967
B52 Bomber Shorties T22.29% S 24968,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226873&GUID=D099C211-0E09-4D5A-8765-BCBDDFE365DB),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226868&GUID=B6BCCEAD-D43F-4827-8E24-6E21160C6029),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226866&GUID=FCA62AC5-B9AB-4B49-914C-C80F1CEBBB73),07/25/2024 12:00:00 AM,MMBR.0023580,0.79,24.51,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024968
CBD T10C256 4136,Capsule,"DXR FINANCE 3, LLC",Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7225238&GUID=BA73CE67-03FA-4C93-B3AE-80A2B273C590),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7225237&GUID=4514D9E7-7D4A-4121-845B-5175AE2D7BD6),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7225236&GUID=2016945F-7D39-4CB3-9BE6-A5C9B6934018),07/25/2024 12:00:00 AM,MMBR.0023547,0.20,0,5.12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana Only,Low THC - High CBD,Yes,Yes,C0040000136
Frozen OG BHO Live Resin Vape T414 I 24943,Vape Cartridge,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7221676&GUID=C9D31FFE-E1A6-4400-B3FF-F795C7CFFC24),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7221671&GUID=40023C16-E77D-4AC2-ABFC-C60A19922AE6),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7221667&GUID=30A69E04-9234-4D75-8CB1-C8DDF9AE30B8),07/25/2024 12:00:00 AM,MMBR.0023545,76.29,7.31,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,Yes,C0020024943
360X C364T304 13630,"Extracts, sprays, tinctures or oils","DXR FINANCE 3, LLC",Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4575113&GUID=25F43A3F-FE1A-4297-966F-1029BB288BA7),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4575110&GUID=C55D2667-DEC1-4D61-A6C7-352A74926E61),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=4575106&GUID=28A4F9D0-1A3F-4C1E-AD1F-F080CDBC953D),02/23/2022 12:00:00 AM,MMBR.0012689,32.24,0.06,38.69,<0.10,<0.10,<0.10,0.21,<0.10,<0.10,<0.10,<0.10,0.14,0.46,0.66,<0.10,<0.10,4.50,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,<0.10,0.20,Medical Marijuana Only,,,,
GMO Purps - CTP Flower SC T24.66% I 24970,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226951&GUID=36414DA3-411D-4E1D-A93A-6BC1DBFCE603),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226950&GUID=348A9FF3-7EF6-4D3C-8986-FBD744254772),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226941&GUID=5709652A-E15B-4D9E-A6C7-D96047566A48),07/25/2024 12:00:00 AM,MMBR.0023564,0.37,27.70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024970
GMO Purps - CTP Flower T24.66% I 24969,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226904&GUID=A06B0A49-A19A-4C7D-8E17-AD6047F267E0),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226902&GUID=BD7D6105-27D4-4381-BE22-688298C76C67),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226899&GUID=1AFE217F-21E3-4726-9D0C-CF66DFC8641D),07/25/2024 12:00:00 AM,MMBR.0023586,0.37,27.70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024969
GMO Purps - CTP Pre-Rolls T24.66% I 24971,Usable Marijuana,CONNECTICUT PHARMACEUTICAL SOLUTIONS LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7227000&GUID=0F1653F6-0C88-48B5-9759-05EE077F2893),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226997&GUID=324FB58C-FEAF-48F5-A709-959FD2F052DF),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7226995&GUID=D9FDFB3A-0653-421E-9F8E-01988A43B8DC),07/25/2024 12:00:00 AM,MMBR.0023583,0.37,27.70,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,No,C0020024971
JAMS Fast Acting Jellies  Sour Watermelon Lime (I) 00096,Liquid Marijuana Infused Edible,CURALEAF LLC,Photo (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7227390&GUID=B58F81FB-8FBC-4B19-BAAB-6A203099C534),Label (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7227386&GUID=8E246D18-18B2-4C15-B219-F1E8555AA8B6),Report (https://elicense.ct.gov/Lookup/ViewPublicLookupDocument.aspx?DocumentIdnt=7227378&GUID=2890B500-7362-4028-AE40-5AFD6C7A8B13),07/25/2024 12:00:00 AM,MMBR.0023589,0.090,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Both Medical Marijuana and Adult-Use Cannabis,High THC - Low CBD,Yes,Yes,C0030000096
