Month Ending,Product Type,Retail Sales Amount,Market
January 2023,Usable Cannabis (Flower),2819150.84,Adult-Use
January 2023,Vape Cartridge,721223.06,Adult-Use
January 2023,Infused Edible,688928.99,Adult-Use
January 2023,Extract for Inhalation,868829.67,Adult-Use
January 2023,Usable Cannabis (Flower),4343508.44,Medical
January 2023,Vape Cartridge,1348641.4,Medical
January 2023,Infused Edible,312457.18,Medical
January 2023,Extract for Inhalation,1446813.91,Medical
January 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",615884.78,Medical
February 2023,Usable Cannabis (Flower),3765552.47,Adult-Use
February 2023,Vape Cartridge,1331419.9,Adult-Use
February 2023,Infused Edible,958220.54,Adult-Use
February 2023,Extract for Inhalation,964468.98,Adult-Use
February 2023,Usable Cannabis (Flower),6262989.69,Medical
February 2023,Vape Cartridge,1868650.77,Medical
February 2023,Infused Edible,639952.71,Medical
February 2023,Extract for Inhalation,1858977.07,Medical
February 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",809532.09,Medical
March 2023,Usable Cannabis (Flower),4992828.8,Adult-Use
March 2023,Vape Cartridge,2576421.58,Adult-Use
March 2023,Infused Edible,1418810.48,Adult-Use
March 2023,Extract for Inhalation,569473.83,Adult-Use
March 2023,Usable Cannabis (Flower),6948322.32,Medical
March 2023,Vape Cartridge,2628310.72,Medical
March 2023,Infused Edible,823685.02,Medical
March 2023,Extract for Inhalation,1233732.37,Medical
March 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",939769.3,Medical
April 2023,Usable Cannabis (Flower),5292408.6,Adult-Use
April 2023,Vape Cartridge,3234774.1,Adult-Use
April 2023,Infused Edible,1475002.54,Adult-Use
April 2023,Extract for Inhalation,196599.56,Adult-Use
April 2023,Usable Cannabis (Flower),6108751.23,Medical
April 2023,Vape Cartridge,2976655.8,Medical
April 2023,Infused Edible,711799.96,Medical
April 2023,Extract for Inhalation,737545.53,Medical
April 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",889633.92,Medical
May 2023,Usable Cannabis (Flower),5942191.05,Adult-Use
May 2023,Vape Cartridge,3787349.74,Adult-Use
May 2023,Infused Edible,1630904.2,Adult-Use
May 2023,Extract for Inhalation,184038.7,Adult-Use
May 2023,Usable Cannabis (Flower),6037032.19,Medical
May 2023,Vape Cartridge,2970717.36,Medical
May 2023,Infused Edible,760080.5,Medical
May 2023,Extract for Inhalation,604345.99,Medical
May 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",855479.42,Medical
June 2023,Usable Cannabis (Flower),6284584.84,Adult-Use
June 2023,Vape Cartridge,4205825.84,Adult-Use
June 2023,Infused Edible,1838510.22,Adult-Use
June 2023,Extract for Inhalation,214076.02,Adult-Use
June 2023,Usable Cannabis (Flower),6090979.32,Medical
June 2023,Vape Cartridge,3052099.71,Medical
June 2023,Infused Edible,750434.09,Medical
June 2023,Extract for Inhalation,632105.01,Medical
June 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",837969.28,Medical
July 2023,Usable Cannabis (Flower),6503033.38,Adult-Use
July 2023,Vape Cartridge,4511653.45,Adult-Use
July 2023,Infused Edible,1813712.48,Adult-Use
July 2023,Extract for Inhalation,189916.21,Adult-Use
July 2023,Usable Cannabis (Flower),5775520.91,Medical
July 2023,Vape Cartridge,2773862.55,Medical
July 2023,Infused Edible,671474.82,Medical
July 2023,Extract for Inhalation,608368.2,Medical
July 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",779921.22,Medical
August 2023,Usable Cannabis (Flower),7070953.47,Adult-Use
August 2023,Vape Cartridge,4785414.26,Adult-Use
August 2023,Infused Edible,1957285.68,Adult-Use
August 2023,Extract for Inhalation,186591.69,Adult-Use
August 2023,Usable Cannabis (Flower),5952626.16,Medical
August 2023,Vape Cartridge,2815609.68,Medical
August 2023,Infused Edible,728954.37,Medical
August 2023,Extract for Inhalation,635087.73,Medical
August 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",806024.45,Medical
September 2023,Usable Cannabis (Flower),7243022.88,Adult-Use
September 2023,Vape Cartridge,4876981.53,Adult-Use
September 2023,Infused Edible,2001275.59,Adult-Use
September 2023,Extract for Inhalation,267501.35,Adult-Use
September 2023,Usable Cannabis (Flower),5897845.16,Medical
September 2023,Vape Cartridge,2747741.41,Medical
September 2023,Infused Edible,752783.32,Medical
September 2023,Extract for Inhalation,662171.55,Medical
September 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",754445.62,Medical
October 2023,Usable Cannabis (Flower),7290719.84,Adult-Use
October 2023,Vape Cartridge,5041817.37,Adult-Use
October 2023,Infused Edible,2083430.7,Adult-Use
October 2023,Extract for Inhalation,327703.39,Adult-Use
October 2023,Usable Cannabis (Flower),5360404.36,Medical
October 2023,Vape Cartridge,2683995.2,Medical
October 2023,Infused Edible,710064.36,Medical
October 2023,Extract for Inhalation,652048.73,Medical
October 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",715639.56,Medical
November 2023,Usable Cannabis (Flower),7457707.2,Adult-Use
November 2023,Vape Cartridge,5289115.51,Adult-Use
November 2023,Infused Edible,2224218.89,Adult-Use
November 2023,Extract for Inhalation,401469.92,Adult-Use
November 2023,Usable Cannabis (Flower),5389689.03,Medical
November 2023,Vape Cartridge,2791499.8,Medical
November 2023,Infused Edible,753066.02,Medical
November 2023,Extract for Inhalation,685160.93,Medical
November 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",697847.44,Medical
December 2023,Usable Cannabis (Flower),7549977.7,Adult-Use
December 2023,Vape Cartridge,6422100.04,Adult-Use
December 2023,Infused Edible,2742507.13,Adult-Use
December 2023,Extract for Inhalation,460263.33,Adult-Use
December 2023,Usable Cannabis (Flower),4904006.02,Medical
December 2023,Vape Cartridge,3141128.65,Medical
December 2023,Infused Edible,850781.03,Medical
December 2023,Extract for Inhalation,726074.86,Medical
December 2023,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",756270.11,Medical
January 2024,Usable Cannabis (Flower),6926271.56,Adult-Use
January 2024,Vape Cartridge,5956767.87,Adult-Use
January 2024,Infused Edible,2366748.54,Adult-Use
January 2024,Extract for Inhalation,326273.7,Adult-Use
January 2024,Usable Cannabis (Flower),4554873.21,Medical
January 2024,Vape Cartridge,2805798.45,Medical
January 2024,Infused Edible,788811.51,Medical
January 2024,Extract for Inhalation,512652.16,Medical
January 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",711193.9,Medical
February 2024,Usable Cannabis (Flower),6785859.79,Adult-Use
February 2024,Vape Cartridge,5701960.65,Adult-Use
February 2024,Infused Edible,2333717.74,Adult-Use
February 2024,Extract for Inhalation,212496.05,Adult-Use
February 2024,Usable Cannabis (Flower),4418571.76,Medical
February 2024,Vape Cartridge,2536441.23,Medical
February 2024,Infused Edible,733480.76,Medical
February 2024,Extract for Inhalation,330459.03,Medical
February 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",613210.6,Medical
March 2024,Usable Cannabis (Flower),7235087.61,Adult-Use
March 2024,Vape Cartridge,5946141.98,Adult-Use
March 2024,Infused Edible,2491535.74,Adult-Use
March 2024,Extract for Inhalation,365104.76,Adult-Use
March 2024,Usable Cannabis (Flower),4465095.78,Medical
March 2024,Vape Cartridge,2489245.07,Medical
March 2024,Infused Edible,711796.89,Medical
March 2024,Extract for Inhalation,312481.68,Medical
March 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",645843.67,Medical
April 2024,Usable Cannabis (Flower),7112017.12,Adult-Use
April 2024,Vape Cartridge,5650403.31,Adult-Use
April 2024,Infused Edible,2405734.87,Adult-Use
April 2024,Extract for Inhalation,450953.91,Adult-Use
April 2024,Usable Cannabis (Flower),4162107.98,Medical
April 2024,Vape Cartridge,2394222.32,Medical
April 2024,Infused Edible,723788.93,Medical
April 2024,Extract for Inhalation,454893.57,Medical
April 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",607414.31,Medical
May 2024,Usable Cannabis (Flower),7615400.97,Adult-Use
May 2024,Vape Cartridge,6038856.57,Adult-Use
May 2024,Infused Edible,2444765.01,Adult-Use
May 2024,Extract for Inhalation,416645.34,Adult-Use
May 2024,Usable Cannabis (Flower),4153963.69,Medical
May 2024,Vape Cartridge,2352217.57,Medical
May 2024,Infused Edible,715676.75,Medical
May 2024,Extract for Inhalation,395710.36,Medical
May 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",580125.17,Medical
June 2024,Usable Cannabis (Flower),7450012.98,Adult-Use
June 2024,Vape Cartridge,5893073.58,Adult-Use
June 2024,Infused Edible,2443045.2,Adult-Use
June 2024,Extract for Inhalation,480630.89,Adult-Use
June 2024,Usable Cannabis (Flower),3738001.44,Medical
June 2024,Vape Cartridge,2228059.02,Medical
June 2024,Infused Edible,687409.17,Medical
June 2024,Extract for Inhalation,461306.19,Medical
June 2024,"Other (Pill, Capsule, Non Smokable Infused Extract, Tincture, Marijuana Infused Topicals, Liquid Marijuana RSO, Marijuana Mix Infused, Lozenge)",542055.56,Medical
July 2024,Usable Cannabis (Flower),7703054.15,Adult-Use
July 2024,Vape Cartridge,6142672.58,Adult-Use
July 2024,Infused Edible,2569107.71,Adult-Use
July 2024,Extract for Inhalation,536191.05,Adult-Use
July 2024,Usable Cannabis (Flower),3689715.65,Medical
July 2024,Vape Cartridge,2248536.11,Medical
